Metric,Season,Player,FG%,3P%,FT%,PTS_per_MIN,Overall_Shooting%,BLK_per_GP,STL_per_GP
3P%,2009 - 2010,Zydrunas Ilgauskas,0.44292238,0.47826087,0.7425743,0.35412776,0.49822065,0.78125,0.21875
3P%,2004 - 2005,Joe Johnson,0.46140796,0.4783784,0.75,0.43236566,0.49508387,0.29268292,0.9634146
3P%,2003 - 2004,Anthony Peeler,0.44827586,0.4822695,0.8360656,0.30962643,0.5,0.13333334,0.74666667
3P%,2004 - 2005,Fred Hoiberg,0.48943663,0.4827586,0.872549,0.34355345,0.56120527,0.19736843,0.65789473
3P%,2007 - 2008,Jason Kapono,0.48795182,0.48305085,0.8604651,0.37913454,0.51138085,0.024691358,0.41975307
3P%,1999 - 2000,Hubert Davis,0.4676724,0.49101797,0.8701299,0.32085857,0.5169492,0.03797468,0.30379745
3P%,2014 - 2015,Kyle Korver,0.48666668,0.4922049,0.89830506,0.37678882,0.5304199,0.56,0.6933333
3P%,2005 - 2006,Josh Childress,0.5515873,0.4923077,0.76616913,0.32999778,0.6025974,0.527027,1.1621622
3P%,2019 - 2020,Rodney Hood,0.50581396,0.49295774,0.7777778,0.37174723,0.52962965,0.1904762,0.8095238
3P%,1999 - 2000,Brian Grant,0.49147728,0.5,0.67469877,0.3469388,0.55,0.44444445,0.50793654
3P%,1999 - 2000,Marcus Camby,0.47983015,0.5,0.6696833,0.3882429,0.54034585,1.9661016,0.7288136
3P%,1999 - 2000,Michael Doleac,0.45233646,0.5,0.84210527,0.42322096,0.511076,0.41975307,0.3580247
3P%,1999 - 2000,Olden Polynice,0.51005024,0.5,0.31111112,0.23914239,0.47346938,1.0243902,0.36585367
3P%,2000 - 2001,Bo Outlaw,0.61413044,0.5,0.5733333,0.2296764,0.59831935,1.7125,1.3125
3P%,2000 - 2001,Eddie Robinson,0.53071254,0.5,0.72727275,0.41465446,0.56513023,0.47761193,0.74626863
3P%,2000 - 2001,Greg Ostertag,0.49466193,0.5,0.5562914,0.24346076,0.516129,1.7530864,0.27160493
3P%,2000 - 2001,Sean Rooks,0.4278481,0.5,0.74825174,0.2871861,0.51296294,0.7804878,0.41463414
3P%,2001 - 2002,Bo Outlaw,0.55518395,0.5,0.42156863,0.19502075,0.5210918,1.1084337,0.8433735
3P%,2001 - 2002,Jason Collins,0.4208633,0.5,0.7012195,0.24893314,0.5247748,0.6103896,0.37662336
